ID Pembekal	Nama Pembekal
UP00001	ABLENET SYSTEMS SDN BHD
UP00001	MALAYSIA AIRLINES BERHAD
UP00002	ABU SEMAN MAT AIL
UP00003	ABX EXPRESS (KUCHING) SDN BHD
UP00004	ABLE SUCCESS SDN BHD
UP00005	ABID SAMUDERA SDN BHD
UP00006	ABDUL GHAFUR BIN MAIDIN
UP00007	ABUR EMAS (M) SDN BHD
UP00008	ABADI LEGASI SDN BHD
UP00009	ACBS ENGINEERING SDN.BHD.
UP00010	ACER SALES \& SERVICES SDN BHD
UP00011	ACTION POINT TECHNOLOGY
UP00012	ACE COMMUNICATION SDN. BHD.
UP00013	ACM SUPPLIES \& SERVICES
UP00014	ACCENTAGE SDN BHD
UP00015	ACHEAT AUTOMATION SDN. BHD.
UP00016	ACICC MALAYSIA SDN BHD
UP00017	ACM UTAMA SDN BHD
UP00018	ACS SOLUTION SDN BHD
UP00019	ADVANTAGE SYSTEMS SDN BHD
UP00020	ADVANCE OFFICE SYSTEMS
UP00021	ADVANCE FREIGHT \& TRANSPORT
UP00022	ADVANCE PROSPER SDN BHD
UP00023	ADVANETWORK TECHNOLOGY PTE LTD
UP00024	AD PRINT MARKETING
UP00025	ADVANCE PRODUCT ENTERPRISE
UP00026	ADVANCE COMBINATION (M) SDN BHD
UP00027	ADI KARI ELECTRIC
UP00028	ADVANCE DESIGN OFFICE FURNITURE
UP00029	ADLINK SYSTEMS SDN BHD
UP00030	A.E.P. MARKETING SDN. BHD.
UP00031	ING INSURANCE BERHAD
UP00032	AE VISTA OFFICE SUPPLY
UP00033	AFX-ASIAPTE LTD.
UP00034	AFIAH TRADING COMPANY
UP00035	APRIL COMMUNICATIONS SDN BHD
UP00036	AFFINITY AXIS SENDIRIAN BERHAD
UP00037	AFJ BINA ENTERPRISE
UP00038	AFFLUENT MASTER SDN BHD
UP00039	XINHUA FINANCIAL NETWORK LIMITED
UP00040	XINHUA FINANCIAL NETWORK LIMITED
UP00041	AFRO-ASIA
UP00042	AGIH TINTA SDN BHD
UP00043	AGENDA SETIA SDN BHD
UP00044	AGRESIF MEGAH (M) SDN BHD
UP00045	AGENCIA EFE, S.A.
UP00046	AHLAN PRESS
UP00047	AHMAD ISMAIL
UP00048	AHMAD TARMIZI BIN MOHAMMAD
UP00049	AHMAD TARMIZI BIN ALI
UP00050	AIDI SYSTEM
UP00051	AIRASIA BERHAD
UP00052	AISHAH KAMA \& SABRI
UP00053	AIZA BINA ENTERPRISE
UP00054	AIA BHD
UP00055	AI JAYA ENTERPRISE
UP00056	AIDIL CREATIVE ENTERPRISE
UP00057	AIFIZU CATERING
UP00058	AI RIZQI TRANS RESOURCES
UP00059	AISY ENER G RESOURCES
UP00060	AKAUNTAN NEGARA MALAYSIA
UP00061	AKIL TRADING
UP00062	ALI JAHITAN SDN BHD.
UP00063	AL-YASWA ELEKTRIK SDN BHD
UP00064	ALPHA-MICRO COMPUTING SERVICES
UP00065	ALLGLASS SDN. BHD.
UP00066	ALLMAX VISION (M) SDN BHD
UP00067	ALPHA CHAPTER SDN. BHD.
UP00068	AL HUDA ENTERPRISE SDN BHD
UP00069	AL HUDA EVENTS SERVICES
UP00070	ALIFF UTAMA SDN. BHD.
UP00071	ALAM TEKNOKRAT SDN BHD
UP00072	ALAM DISPLAY \& DISPLAY
UP00073	AL HUSSAIN TRADING
UP00074	AL-AMEEN RESOURCES SDN BHD
UP00075	ALIRANTEK (M) SDN BHD
UP00076	ALIRAN PERMATA SDN BHD
UP00077	ALFA UTAMA ENTERPRISE
UP00078	ALRIN SERVICE AND DISTRIBUTORS
UP00079	ALMO CONSTRUCTION
UP00080	ALPHA HILL (M) SDN BHD
UP00081	ALAMEDIA SDN BHD
UP00082	DTANDOOR FOOD INDUSTRIES SDN BHD
UP00083	AL-MALIK CATERING AMC SDN BHD
UP00084	AL-MARQIS TRADING \& SERVICES
UP00085	AL KAFILAH ENTERPRISE
UP00086	ALL RESOURCES ENTERPRISE SDN BHD
UP00087	ALMA TRAVEL \& INVESTMENT CORPORAT
UP00088	ALMA TRAVEL \& TOURS SDN BHD
UP00089	ALONG ENGINEERING
UP00090	ALGHANIYY ENTERPRISE
UP00091	ALSA MESRA RESOURCES
UP00092	AMANAH SAHAM NASIONAL BERHAD
UP00093	ARMADILLO SAFETY SDN BHD
UP00094	AMTEL COMMUNICATIONS SDN.BHD.
UP00095	AMAL ASSURANCE BHD
UP00096	AMANS TRADERS
UP00097	AMAL AGENCY
UP00098	AMPANG PRESS SDN BERHAD
UP00099	AMAL ENTERPRISE
UP00100	AM TECHNOLOGY TRADING
